record_id,intersection_id,intersection_name,zone,timestamp_utc,date,is_peak_hour,vehicle_type,vehicle_count_total
CAM_INT_009_1,INT_009,Charminar Signal,Hyderabad,2023-01-01 19:48:00,2023-01-01,True,car,12
CAM_INT_003_4,INT_003,Miyapur X Roads,Rangareddy,2023-01-03 22:32:00,2023-01-03,False,2w,10
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-06 17:26:00,2023-01-06,True,2w,21
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-03 02:57:00,2023-01-03,False,car,4
CAM_INT_008_4,INT_008,Uppal Junction,Hyderabad,2023-01-04 06:25:00,2023-01-04,False,truck,5
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-07 13:45:00,2023-01-07,False,bus,6
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 15:01:00,2023-01-04,False,car,9
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-04 19:38:00,2023-01-04,True,car,23
CAM_INT_009_1,INT_009,Charminar Signal,Hyderabad,2023-01-06 23:18:00,2023-01-06,False,bus,9
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-07 00:40:00,2023-01-07,False,bus,9
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-08 00:29:00,2023-01-08,False,pedestrian,12
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-05 20:15:00,2023-01-05,False,bicycle,12
CAM_INT_010_1,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-07 20:05:00,2023-01-07,False,car,14
CAM_INT_010_3,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-06 00:28:00,2023-01-06,False,bicycle,11
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 05:12:00,2023-01-04,False,pedestrian,5
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-03 23:10:00,2023-01-03,False,2w,4
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-04 15:55:00,2023-01-04,False,truck,12
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-01 08:32:00,2023-01-01,True,pedestrian,20
CAM_INT_009_3,INT_009,Charminar Signal,Hyderabad,2023-01-02 02:00:00,2023-01-02,False,bus,4
CAM_INT_006_2,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-02 18:10:00,2023-01-02,True,car,15
CAM_INT_005_4,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-05 10:54:00,2023-01-05,True,bus,22
CAM_INT_005_1,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-07 10:20:00,2023-01-07,True,pedestrian,18
CAM_INT_005_1,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-07 13:26:00,2023-01-07,False,pedestrian,5
CAM_INT_005_1,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 18:40:00,2023-01-02,True,car,17
CAM_INT_003_3,INT_003,Miyapur X Roads,Rangareddy,2023-01-07 13:04:00,2023-01-07,False,truck,5
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-08 03:09:00,2023-01-08,False,pedestrian,7
CAM_INT_005_4,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-03 13:35:00,2023-01-03,False,bicycle,8
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-04 02:34:00,2023-01-04,False,car,8
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-04 09:33:00,2023-01-04,True,car,19
CAM_INT_005_4,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 17:43:00,2023-01-02,True,bus,16
CAM_INT_007_1,INT_007,Kompally Signal,Medchal,2023-01-07 12:38:00,2023-01-07,False,bicycle,4
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-02 12:32:00,2023-01-02,False,pedestrian,10
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 10:58:00,2023-01-07,True,truck,14
CAM_INT_003_3,INT_003,Miyapur X Roads,Rangareddy,2023-01-06 03:21:00,2023-01-06,False,car,8
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-05 09:34:00,2023-01-05,True,truck,16
CAM_INT_002_4,INT_002,Ameerpet Junction,Hyderabad,2023-01-04 02:08:00,2023-01-04,False,truck,6
CAM_INT_004_2,INT_004,LB Nagar Signal,Hyderabad,2023-01-03 00:12:00,2023-01-03,False,bus,11
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-05 22:35:00,2023-01-05,False,bus,7
CAM_INT_004_2,INT_004,LB Nagar Signal,Hyderabad,2023-01-05 22:25:00,2023-01-05,False,truck,6
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-02 11:31:00,2023-01-02,False,car,6
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-03 18:44:00,2023-01-03,True,2w,22
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 17:20:00,2023-01-04,True,bus,21
CAM_INT_007_3,INT_007,Kompally Signal,Medchal,2023-01-03 10:44:00,2023-01-03,True,truck,19
CAM_INT_005_4,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 00:57:00,2023-01-02,False,truck,9
CAM_INT_006_1,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-07 08:25:00,2023-01-07,True,car,25
CAM_INT_003_3,INT_003,Miyapur X Roads,Rangareddy,2023-01-04 05:19:00,2023-01-04,False,bicycle,9
CAM_INT_002_4,INT_002,Ameerpet Junction,Hyderabad,2023-01-01 16:26:00,2023-01-01,False,bicycle,10
CAM_INT_006_1,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-05 04:23:00,2023-01-05,False,2w,12
CAM_INT_010_3,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-05 15:11:00,2023-01-05,False,bus,7
CAM_INT_007_2,INT_007,Kompally Signal,Medchal,2023-01-01 18:07:00,2023-01-01,True,car,25
CAM_INT_007_3,INT_007,Kompally Signal,Medchal,2023-01-05 09:27:00,2023-01-05,True,car,25
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-04 19:43:00,2023-01-04,True,truck,19
CAM_INT_006_3,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-05 21:31:00,2023-01-05,False,2w,9
CAM_INT_003_4,INT_003,Miyapur X Roads,Rangareddy,2023-01-07 13:23:00,2023-01-07,False,bus,9
CAM_INT_003_3,INT_003,Miyapur X Roads,Rangareddy,2023-01-05 13:31:00,2023-01-05,False,bicycle,14
CAM_INT_009_3,INT_009,Charminar Signal,Hyderabad,2023-01-05 20:53:00,2023-01-05,False,car,9
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 12:20:00,2023-01-04,False,2w,4
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-06 12:58:00,2023-01-06,False,2w,8
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-07 01:35:00,2023-01-07,False,pedestrian,6
CAM_INT_005_3,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 05:09:00,2023-01-02,False,bicycle,7
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-02 07:30:00,2023-01-02,False,pedestrian,6
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-03 19:20:00,2023-01-03,True,bus,21
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-01 18:37:00,2023-01-01,True,2w,24
CAM_INT_007_2,INT_007,Kompally Signal,Medchal,2023-01-06 10:21:00,2023-01-06,True,pedestrian,20
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-05 14:51:00,2023-01-05,False,2w,9
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-02 22:17:00,2023-01-02,False,car,4
CAM_INT_003_4,INT_003,Miyapur X Roads,Rangareddy,2023-01-03 17:45:00,2023-01-03,True,pedestrian,16
CAM_INT_009_1,INT_009,Charminar Signal,Hyderabad,2023-01-01 19:42:00,2023-01-01,True,bus,22
CAM_INT_003_3,INT_003,Miyapur X Roads,Rangareddy,2023-01-06 10:38:00,2023-01-06,True,2w,15
CAM_INT_010_4,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-06 06:51:00,2023-01-06,False,pedestrian,8
CAM_INT_008_4,INT_008,Uppal Junction,Hyderabad,2023-01-07 11:36:00,2023-01-07,False,bus,3
CAM_INT_005_3,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-06 08:53:00,2023-01-06,True,bus,16
CAM_INT_008_2,INT_008,Uppal Junction,Hyderabad,2023-01-07 04:20:00,2023-01-07,False,pedestrian,9
CAM_INT_008_3,INT_008,Uppal Junction,Hyderabad,2023-01-04 08:59:00,2023-01-04,True,car,22
CAM_INT_005_3,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-03 22:01:00,2023-01-03,False,truck,11
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-07 09:29:00,2023-01-07,True,bus,17
CAM_INT_007_2,INT_007,Kompally Signal,Medchal,2023-01-03 21:08:00,2023-01-03,False,pedestrian,8
CAM_INT_002_4,INT_002,Ameerpet Junction,Hyderabad,2023-01-03 16:25:00,2023-01-03,False,2w,8
CAM_INT_009_4,INT_009,Charminar Signal,Hyderabad,2023-01-05 00:21:00,2023-01-05,False,2w,11
CAM_INT_004_4,INT_004,LB Nagar Signal,Hyderabad,2023-01-01 23:00:00,2023-01-01,False,2w,6
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 21:29:00,2023-01-07,False,bicycle,9
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-06 16:14:00,2023-01-06,False,truck,7
CAM_INT_007_2,INT_007,Kompally Signal,Medchal,2023-01-05 16:29:00,2023-01-05,False,bicycle,9
CAM_INT_004_4,INT_004,LB Nagar Signal,Hyderabad,2023-01-06 19:19:00,2023-01-06,True,truck,21
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-06 18:36:00,2023-01-06,True,2w,19
CAM_INT_003_2,INT_003,Miyapur X Roads,Rangareddy,2023-01-05 20:24:00,2023-01-05,False,2w,12
CAM_INT_001_1,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 07:51:00,2023-01-07,False,2w,11
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-02 04:55:00,2023-01-02,False,bus,7
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-03 07:37:00,2023-01-03,False,truck,5
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 23:23:00,2023-01-04,False,2w,7
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-05 02:09:00,2023-01-05,False,truck,10
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-04 02:53:00,2023-01-04,False,2w,10
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 09:17:00,2023-01-07,True,truck,17
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-02 00:44:00,2023-01-02,False,car,3
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-03 12:26:00,2023-01-03,False,bicycle,11
CAM_INT_003_1,INT_003,Miyapur X Roads,Rangareddy,2023-01-03 23:08:00,2023-01-03,False,2w,9
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-07 16:00:00,2023-01-07,False,2w,11
CAM_INT_003_1,INT_003,Miyapur X Roads,Rangareddy,2023-01-05 10:43:00,2023-01-05,True,pedestrian,25
CAM_INT_005_1,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-03 02:43:00,2023-01-03,False,car,7
CAM_INT_010_4,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-04 19:11:00,2023-01-04,True,2w,22
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-03 12:09:00,2023-01-03,False,bicycle,6
CAM_INT_005_1,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 09:49:00,2023-01-02,True,pedestrian,16
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 16:32:00,2023-01-07,False,truck,9
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-05 11:11:00,2023-01-05,False,bicycle,14
CAM_INT_007_1,INT_007,Kompally Signal,Medchal,2023-01-01 09:27:00,2023-01-01,True,2w,25
CAM_INT_006_4,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-06 04:22:00,2023-01-06,False,pedestrian,6
CAM_INT_007_3,INT_007,Kompally Signal,Medchal,2023-01-02 23:46:00,2023-01-02,False,bus,11
CAM_INT_008_4,INT_008,Uppal Junction,Hyderabad,2023-01-07 08:57:00,2023-01-07,True,2w,18
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-07 23:47:00,2023-01-07,False,truck,7
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-02 05:39:00,2023-01-02,False,2w,10
CAM_INT_010_4,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-06 12:53:00,2023-01-06,False,bicycle,6
CAM_INT_001_3,INT_001,Kukatpally Crossroad,Medchal,2023-01-05 01:51:00,2023-01-05,False,2w,7
CAM_INT_008_3,INT_008,Uppal Junction,Hyderabad,2023-01-03 07:39:00,2023-01-03,False,bus,10
CAM_INT_006_3,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-04 04:32:00,2023-01-04,False,truck,7
CAM_INT_001_2,INT_001,Kukatpally Crossroad,Medchal,2023-01-07 13:46:00,2023-01-07,False,bicycle,11
CAM_INT_004_4,INT_004,LB Nagar Signal,Hyderabad,2023-01-02 05:22:00,2023-01-02,False,pedestrian,8
CAM_INT_009_4,INT_009,Charminar Signal,Hyderabad,2023-01-06 19:24:00,2023-01-06,True,bus,20
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-06 20:01:00,2023-01-06,False,car,5
CAM_INT_004_2,INT_004,LB Nagar Signal,Hyderabad,2023-01-04 14:20:00,2023-01-04,False,2w,8
CAM_INT_010_4,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-04 17:36:00,2023-01-04,True,truck,20
CAM_INT_009_4,INT_009,Charminar Signal,Hyderabad,2023-01-07 13:08:00,2023-01-07,False,truck,7
CAM_INT_006_4,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-07 12:17:00,2023-01-07,False,truck,4
CAM_INT_005_2,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-04 07:58:00,2023-01-04,False,truck,6
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-02 14:56:00,2023-01-02,False,truck,4
CAM_INT_003_2,INT_003,Miyapur X Roads,Rangareddy,2023-01-07 08:19:00,2023-01-07,True,bus,29
CAM_INT_005_3,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-06 18:13:00,2023-01-06,True,pedestrian,20
CAM_INT_004_2,INT_004,LB Nagar Signal,Hyderabad,2023-01-02 09:27:00,2023-01-02,True,truck,26
CAM_INT_003_1,INT_003,Miyapur X Roads,Rangareddy,2023-01-05 08:32:00,2023-01-05,True,truck,24
CAM_INT_003_1,INT_003,Miyapur X Roads,Rangareddy,2023-01-07 07:51:00,2023-01-07,False,truck,9
CAM_INT_009_2,INT_009,Charminar Signal,Hyderabad,2023-01-01 20:53:00,2023-01-01,False,truck,6
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-06 20:02:00,2023-01-06,False,car,12
CAM_INT_008_3,INT_008,Uppal Junction,Hyderabad,2023-01-06 14:10:00,2023-01-06,False,2w,7
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-03 08:20:00,2023-01-03,True,truck,21
CAM_INT_002_4,INT_002,Ameerpet Junction,Hyderabad,2023-01-02 13:09:00,2023-01-02,False,2w,12
CAM_INT_010_1,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-02 02:13:00,2023-01-02,False,pedestrian,10
CAM_INT_003_3,INT_003,Miyapur X Roads,Rangareddy,2023-01-02 23:25:00,2023-01-02,False,bicycle,9
CAM_INT_004_4,INT_004,LB Nagar Signal,Hyderabad,2023-01-02 05:15:00,2023-01-02,False,car,5
CAM_INT_010_2,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-08 03:33:00,2023-01-08,False,bicycle,8
CAM_INT_007_4,INT_007,Kompally Signal,Medchal,2023-01-07 04:41:00,2023-01-07,False,2w,9
CAM_INT_010_3,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-04 15:11:00,2023-01-04,False,2w,4
CAM_INT_010_1,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-07 17:16:00,2023-01-07,True,car,14
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-03 14:44:00,2023-01-03,False,truck,7
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-03 00:53:00,2023-01-03,False,bus,8
CAM_INT_001_4,INT_001,Kukatpally Crossroad,Medchal,2023-01-03 00:44:00,2023-01-03,False,2w,9
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-08 00:09:00,2023-01-08,False,truck,12
CAM_INT_005_3,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-03 21:12:00,2023-01-03,False,pedestrian,8
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-06 09:58:00,2023-01-06,True,bus,21
CAM_INT_004_1,INT_004,LB Nagar Signal,Hyderabad,2023-01-07 23:03:00,2023-01-07,False,2w,11
CAM_INT_004_3,INT_004,LB Nagar Signal,Hyderabad,2023-01-07 10:42:00,2023-01-07,True,bus,18
CAM_INT_002_2,INT_002,Ameerpet Junction,Hyderabad,2023-01-02 20:50:00,2023-01-02,False,car,7
CAM_INT_010_3,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-04 17:59:00,2023-01-04,True,pedestrian,21
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-06 05:55:00,2023-01-06,False,2w,7
CAM_INT_005_4,INT_005,Mehdipatnam Circle,Hyderabad,2023-01-05 19:54:00,2023-01-05,True,pedestrian,18
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-06 05:32:00,2023-01-06,False,bicycle,8
CAM_INT_006_3,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-06 03:58:00,2023-01-06,False,bicycle,5
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-01 13:03:00,2023-01-01,False,bus,7
CAM_INT_010_2,INT_010,Shamshabad Airport Road,Rangareddy,2023-01-04 07:35:00,2023-01-04,False,car,7
CAM_INT_009_4,INT_009,Charminar Signal,Hyderabad,2023-01-06 14:28:00,2023-01-06,False,pedestrian,8
CAM_INT_003_4,INT_003,Miyapur X Roads,Rangareddy,2023-01-04 09:57:00,2023-01-04,True,pedestrian,24
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-06 20:16:00,2023-01-06,False,2w,9
CAM_INT_006_1,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-05 21:30:00,2023-01-05,False,truck,9
CAM_INT_006_4,INT_006,Dilsukhnagar Junction,Hyderabad,2023-01-03 01:54:00,2023-01-03,False,2w,8
CAM_INT_007_1,INT_007,Kompally Signal,Medchal,2023-01-04 12:42:00,2023-01-04,False,bicycle,10
CAM_INT_002_3,INT_002,Ameerpet Junction,Hyderabad,2023-01-06 10:11:00,2023-01-06,True,truck,19
CAM_INT_002_1,INT_002,Ameerpet Junction,Hyderabad,2023-01-04 22:16:00,2023-01-04,False,2w,7
CAM_INT_008_1,INT_008,Uppal Junction,Hyderabad,2023-01-07 10:09:00,2023-01-07,True,2w,15
