delay_id,route_id,bus_id,intersection_id,stop_id,scheduled_arrival_ts,actual_arrival_ts,delay_minutes,delay_reason,date
DLY_00014,RT_110,BUS_1086,INT_001,STOP_30,2023-01-04 19:11:00,2023-01-04 19:11:00,0.0,other,2023-01-04
DLY_00015,RT_102,BUS_1075,INT_004,STOP_13,2023-01-03 12:09:00,2023-01-03 12:12:18,3.31,breakdown,2023-01-03
DLY_00016,RT_110,BUS_1015,INT_005,STOP_4,2023-01-04 16:21:00,2023-01-04 16:22:57,1.96,traffic,2023-01-04
DLY_00017,RT_107,BUS_1084,INT_003,STOP_12,2023-01-07 07:28:00,2023-01-07 07:33:56,5.94,weather,2023-01-07
DLY_00018,RT_106,BUS_1001,INT_004,STOP_3,2023-01-07 00:09:00,2023-01-07 00:11:16,2.28,other,2023-01-07
DLY_00019,RT_102,BUS_1055,INT_008,STOP_27,2023-01-06 19:51:00,2023-01-06 19:51:45,0.76,weather,2023-01-06
DLY_00020,RT_103,BUS_1055,INT_002,STOP_21,2023-01-06 11:32:00,2023-01-06 11:41:23,9.4,breakdown,2023-01-06
DLY_00021,RT_105,BUS_1078,INT_005,STOP_24,2023-01-07 04:28:00,2023-01-07 04:32:19,4.32,other,2023-01-07
DLY_00022,RT_110,BUS_1034,INT_006,STOP_15,2023-01-06 04:56:00,2023-01-06 05:01:12,5.2,weather,2023-01-06
DLY_00023,RT_102,BUS_1035,INT_009,STOP_28,2023-01-04 01:02:00,2023-01-04 01:02:43,0.73,other,2023-01-04
DLY_00024,RT_110,BUS_1078,INT_009,STOP_8,2023-01-06 12:53:00,2023-01-06 12:56:22,3.37,other,2023-01-06
DLY_00025,RT_108,BUS_1041,INT_002,STOP_11,2023-01-01 13:50:00,2023-01-01 13:55:19,5.33,breakdown,2023-01-01
DLY_00026,RT_106,BUS_1033,INT_007,STOP_16,2023-01-03 15:55:00,2023-01-03 15:56:32,1.55,weather,2023-01-03
DLY_00027,RT_105,BUS_1071,INT_010,STOP_9,2023-01-08 00:47:00,2023-01-08 00:53:07,6.13,traffic,2023-01-08
DLY_00028,RT_102,BUS_1030,INT_008,STOP_17,2023-01-03 10:10:00,2023-01-03 10:13:11,3.2,other,2023-01-03
DLY_00029,RT_104,BUS_1088,INT_007,STOP_16,2023-01-07 13:36:00,2023-01-07 13:40:07,4.12,other,2023-01-07
DLY_00030,RT_108,BUS_1002,INT_002,STOP_21,2023-01-06 20:01:00,2023-01-06 20:04:11,3.19,traffic,2023-01-06
DLY_00031,RT_107,BUS_1088,INT_001,STOP_10,2023-01-03 18:30:00,2023-01-03 18:40:33,10.56,breakdown,2023-01-03
DLY_00032,RT_106,BUS_1060,INT_001,STOP_10,2023-01-07 20:48:00,2023-01-07 20:52:57,4.96,weather,2023-01-07
DLY_00033,RT_106,BUS_1045,INT_005,STOP_14,2023-01-07 12:17:00,2023-01-07 12:18:49,1.83,other,2023-01-07
DLY_00034,RT_105,BUS_1029,INT_010,STOP_9,2023-01-04 17:43:00,2023-01-04 17:50:28,7.47,traffic,2023-01-04
DLY_00035,RT_106,BUS_1015,INT_005,STOP_24,2023-01-03 10:35:00,2023-01-03 10:36:20,1.34,breakdown,2023-01-03
DLY_00036,RT_108,BUS_1035,INT_008,STOP_7,2023-01-03 17:05:00,2023-01-03 17:10:37,5.63,weather,2023-01-03
DLY_00037,RT_105,BUS_1029,INT_005,STOP_4,2023-01-03 11:00:00,2023-01-03 11:00:00,0.0,weather,2023-01-03
DLY_00038,RT_101,BUS_1090,INT_007,STOP_6,2023-01-04 16:32:00,2023-01-04 16:33:00,1.02,breakdown,2023-01-04
DLY_00039,RT_101,BUS_1070,INT_010,STOP_9,2023-01-01 18:25:00,2023-01-01 18:30:35,5.59,weather,2023-01-01
DLY_00040,RT_108,BUS_1013,INT_004,STOP_23,2023-01-02 16:28:00,2023-01-02 16:35:12,7.22,traffic,2023-01-02
DLY_00041,RT_108,BUS_1061,INT_010,STOP_19,2023-01-04 11:38:00,2023-01-04 11:43:30,5.51,other,2023-01-04
DLY_00042,RT_101,BUS_1032,INT_002,STOP_11,2023-01-03 08:20:00,2023-01-03 08:24:39,4.65,other,2023-01-03
DLY_00043,RT_107,BUS_1062,INT_005,STOP_4,2023-01-01 23:50:00,2023-01-01 23:54:05,4.1,traffic,2023-01-01
DLY_00044,RT_103,BUS_1019,INT_010,STOP_19,2023-01-01 20:38:00,2023-01-01 20:38:33,0.56,weather,2023-01-01
DLY_00045,RT_102,BUS_1071,INT_004,STOP_3,2023-01-04 01:46:00,2023-01-04 01:48:50,2.84,other,2023-01-04
DLY_00046,RT_110,BUS_1028,INT_001,STOP_20,2023-01-08 00:46:00,2023-01-08 00:49:37,3.62,other,2023-01-08
DLY_00047,RT_105,BUS_1075,INT_006,STOP_15,2023-01-06 06:53:00,2023-01-06 07:01:10,8.17,other,2023-01-06
DLY_00048,RT_110,BUS_1007,INT_001,STOP_10,2023-01-07 17:16:00,2023-01-07 17:22:01,6.03,traffic,2023-01-07
DLY_00049,RT_104,BUS_1033,INT_006,STOP_25,2023-01-03 14:44:00,2023-01-03 14:44:00,0.0,traffic,2023-01-03
DLY_00050,RT_103,BUS_1070,INT_007,STOP_6,2023-01-03 23:29:00,2023-01-03 23:34:58,5.97,traffic,2023-01-03
DLY_00051,RT_107,BUS_1057,INT_007,STOP_6,2023-01-01 06:43:00,2023-01-01 06:46:50,3.84,other,2023-01-01
DLY_00052,RT_104,BUS_1036,INT_001,STOP_10,2023-01-01 14:54:00,2023-01-01 14:56:58,2.97,weather,2023-01-01
DLY_00053,RT_102,BUS_1087,INT_004,STOP_23,2023-01-06 09:58:00,2023-01-06 10:04:50,6.84,breakdown,2023-01-06
DLY_00054,RT_110,BUS_1084,INT_001,STOP_30,2023-01-04 06:14:00,2023-01-04 06:22:05,8.09,breakdown,2023-01-04
DLY_00055,RT_109,BUS_1028,INT_005,STOP_14,2023-01-02 13:20:00,2023-01-02 13:27:47,7.79,breakdown,2023-01-02
DLY_00056,RT_103,BUS_1009,INT_001,STOP_30,2023-01-04 06:32:00,2023-01-04 06:34:28,2.48,traffic,2023-01-04
DLY_00057,RT_110,BUS_1095,INT_007,STOP_6,2023-01-04 17:59:00,2023-01-04 18:03:04,4.07,weather,2023-01-04
DLY_00058,RT_108,BUS_1088,INT_006,STOP_15,2023-01-02 15:57:00,2023-01-02 16:02:59,5.99,weather,2023-01-02
DLY_00059,RT_105,BUS_1064,INT_004,STOP_23,2023-01-05 19:54:00,2023-01-05 20:01:55,7.93,other,2023-01-05
DLY_00060,RT_110,BUS_1005,INT_006,STOP_15,2023-01-02 03:57:00,2023-01-02 04:00:33,3.56,other,2023-01-02
DLY_00061,RT_110,BUS_1032,INT_005,STOP_24,2023-01-04 22:00:00,2023-01-04 22:04:26,4.44,traffic,2023-01-04
DLY_00062,RT_110,BUS_1075,INT_004,STOP_3,2023-01-03 20:30:00,2023-01-03 20:31:40,1.68,traffic,2023-01-03
DLY_00063,RT_110,BUS_1005,INT_006,STOP_25,2023-01-04 07:35:00,2023-01-04 07:36:24,1.41,breakdown,2023-01-04
DLY_00064,RT_108,BUS_1035,INT_007,STOP_16,2023-01-07 03:42:00,2023-01-07 03:49:26,7.44,breakdown,2023-01-07
DLY_00065,RT_108,BUS_1011,INT_010,STOP_19,2023-01-06 05:01:00,2023-01-06 05:10:04,9.07,other,2023-01-06
DLY_00066,RT_106,BUS_1041,INT_003,STOP_12,2023-01-05 21:30:00,2023-01-05 21:34:47,4.78,traffic,2023-01-05
DLY_00067,RT_106,BUS_1052,INT_009,STOP_28,2023-01-03 01:54:00,2023-01-03 02:02:00,8.01,other,2023-01-03
DLY_00068,RT_109,BUS_1004,INT_001,STOP_10,2023-01-05 19:21:00,2023-01-05 19:27:05,6.08,other,2023-01-05
DLY_00069,RT_105,BUS_1041,INT_004,STOP_3,2023-01-04 19:53:00,2023-01-04 19:56:03,3.06,traffic,2023-01-04
DLY_00070,RT_109,BUS_1000,INT_006,STOP_25,2023-01-05 20:22:00,2023-01-05 20:28:05,6.08,other,2023-01-05
DLY_00071,RT_104,BUS_1066,INT_005,STOP_14,2023-01-01 20:48:00,2023-01-01 20:57:36,9.61,weather,2023-01-01
DLY_00072,RT_108,BUS_1097,INT_001,STOP_20,2023-01-06 22:07:00,2023-01-06 22:11:53,4.89,traffic,2023-01-06
DLY_00073,RT_109,BUS_1016,INT_008,STOP_7,2023-01-04 06:55:00,2023-01-04 07:04:41,9.69,weather,2023-01-04
DLY_00074,RT_102,BUS_1003,INT_006,STOP_15,2023-01-06 18:21:00,2023-01-06 18:21:00,0.0,breakdown,2023-01-06
DLY_00075,RT_105,BUS_1070,INT_004,STOP_23,2023-01-03 01:14:00,2023-01-03 01:21:27,7.47,traffic,2023-01-03
DLY_00076,RT_102,BUS_1028,INT_009,STOP_18,2023-01-05 21:24:00,2023-01-05 21:29:15,5.26,traffic,2023-01-05
DLY_00077,RT_103,BUS_1063,INT_006,STOP_15,2023-01-02 14:04:00,2023-01-02 14:08:06,4.1,weather,2023-01-02
DLY_00078,RT_107,BUS_1061,INT_008,STOP_17,2023-01-04 08:39:00,2023-01-04 08:44:16,5.28,other,2023-01-04
DLY_00079,RT_109,BUS_1018,INT_009,STOP_8,2023-01-06 10:43:00,2023-01-06 10:43:00,0.0,other,2023-01-06
DLY_00080,RT_109,BUS_1095,INT_008,STOP_7,2023-01-08 01:40:00,2023-01-08 01:44:20,4.34,breakdown,2023-01-08
DLY_00081,RT_105,BUS_1098,INT_009,STOP_28,2023-01-02 01:03:00,2023-01-02 01:09:04,6.07,other,2023-01-02
DLY_00082,RT_105,BUS_1000,INT_002,STOP_11,2023-01-07 00:38:00,2023-01-07 00:47:26,9.43,weather,2023-01-07
DLY_00083,RT_110,BUS_1074,INT_005,STOP_24,2023-01-04 15:31:00,2023-01-04 15:34:26,3.45,other,2023-01-04
DLY_00084,RT_108,BUS_1068,INT_009,STOP_28,2023-01-02 22:34:00,2023-01-02 22:36:34,2.57,other,2023-01-02
DLY_00085,RT_109,BUS_1097,INT_003,STOP_12,2023-01-05 00:46:00,2023-01-05 00:49:29,3.49,other,2023-01-05
DLY_00086,RT_104,BUS_1089,INT_006,STOP_15,2023-01-04 21:52:00,2023-01-04 21:59:44,7.75,breakdown,2023-01-04
DLY_00087,RT_104,BUS_1099,INT_010,STOP_19,2023-01-05 14:34:00,2023-01-05 14:39:59,5.99,other,2023-01-05
DLY_00088,RT_108,BUS_1090,INT_003,STOP_2,2023-01-04 20:53:00,2023-01-04 20:56:24,3.41,other,2023-01-04
DLY_00089,RT_108,BUS_1004,INT_004,STOP_13,2023-01-02 23:32:00,2023-01-02 23:38:32,6.54,breakdown,2023-01-02
DLY_00090,RT_106,BUS_1012,INT_008,STOP_17,2023-01-07 23:09:00,2023-01-07 23:14:17,5.29,other,2023-01-07
DLY_00091,RT_108,BUS_1001,INT_005,STOP_4,2023-01-07 05:37:00,2023-01-07 05:44:54,7.91,breakdown,2023-01-07
DLY_00092,RT_102,BUS_1060,INT_005,STOP_14,2023-01-03 00:09:00,2023-01-03 00:11:53,2.89,weather,2023-01-03
DLY_00093,RT_102,BUS_1042,INT_002,STOP_11,2023-01-05 18:32:00,2023-01-05 18:36:01,4.02,other,2023-01-05
DLY_00094,RT_109,BUS_1004,INT_002,STOP_11,2023-01-06 19:14:00,2023-01-06 19:17:49,3.82,traffic,2023-01-06
DLY_00095,RT_104,BUS_1095,INT_009,STOP_8,2023-01-04 12:28:00,2023-01-04 12:28:36,0.61,traffic,2023-01-04
DLY_00096,RT_102,BUS_1056,INT_005,STOP_14,2023-01-02 08:52:00,2023-01-02 08:57:53,5.89,breakdown,2023-01-02
DLY_00097,RT_101,BUS_1005,INT_004,STOP_23,2023-01-04 15:46:00,2023-01-04 15:51:46,5.78,weather,2023-01-04
DLY_00098,RT_105,BUS_1045,INT_007,STOP_26,2023-01-01 21:19:00,2023-01-01 21:24:00,5.02,weather,2023-01-01
DLY_00099,RT_104,BUS_1067,INT_005,STOP_14,2023-01-02 21:45:00,2023-01-02 21:49:17,4.3,other,2023-01-02
DLY_00100,RT_103,BUS_1022,INT_010,STOP_19,2023-01-03 07:10:00,2023-01-03 07:10:45,0.75,traffic,2023-01-03
DLY_00101,RT_110,BUS_1087,INT_001,STOP_20,2023-01-05 14:27:00,2023-01-05 14:30:44,3.74,breakdown,2023-01-05
DLY_00102,RT_103,BUS_1029,INT_007,STOP_16,2023-01-07 21:14:00,2023-01-07 21:17:58,3.97,other,2023-01-07
DLY_00103,RT_108,BUS_1032,INT_002,STOP_21,2023-01-04 03:21:00,2023-01-04 03:23:35,2.59,traffic,2023-01-04
DLY_00104,RT_105,BUS_1086,INT_010,STOP_29,2023-01-06 13:02:00,2023-01-06 13:06:30,4.52,breakdown,2023-01-06
DLY_00105,RT_106,BUS_1075,INT_004,STOP_3,2023-01-06 06:37:00,2023-01-06 06:43:12,6.21,weather,2023-01-06
DLY_00106,RT_105,BUS_1058,INT_002,STOP_21,2023-01-06 01:51:00,2023-01-06 02:01:39,10.66,weather,2023-01-06
DLY_00107,RT_108,BUS_1013,INT_008,STOP_7,2023-01-05 15:02:00,2023-01-05 15:07:31,5.52,breakdown,2023-01-05
DLY_00108,RT_106,BUS_1073,INT_004,STOP_13,2023-01-07 18:10:00,2023-01-07 18:15:46,5.77,weather,2023-01-07
DLY_00109,RT_101,BUS_1084,INT_004,STOP_23,2023-01-04 14:37:00,2023-01-04 14:41:46,4.78,other,2023-01-04
DLY_00110,RT_110,BUS_1087,INT_010,STOP_9,2023-01-01 08:12:00,2023-01-01 08:12:00,0.0,traffic,2023-01-01
DLY_00111,RT_108,BUS_1036,INT_001,STOP_30,2023-01-08 03:35:00,2023-01-08 03:39:55,4.92,breakdown,2023-01-08
DLY_00112,RT_104,BUS_1081,INT_001,STOP_20,2023-01-05 06:12:00,2023-01-05 06:17:10,5.18,breakdown,2023-01-05
DLY_00113,RT_103,BUS_1080,INT_001,STOP_20,2023-01-04 02:26:00,2023-01-04 02:38:23,12.39,traffic,2023-01-04
DLY_00114,RT_105,BUS_1056,INT_010,STOP_29,2023-01-01 16:45:00,2023-01-01 16:49:25,4.42,traffic,2023-01-01
DLY_00115,RT_103,BUS_1011,INT_010,STOP_19,2023-01-05 09:37:00,2023-01-05 09:42:54,5.9,weather,2023-01-05
DLY_00116,RT_103,BUS_1025,INT_002,STOP_11,2023-01-05 23:27:00,2023-01-05 23:31:53,4.9,breakdown,2023-01-05
DLY_00117,RT_106,BUS_1067,INT_007,STOP_26,2023-01-07 09:17:00,2023-01-07 09:18:29,1.49,weather,2023-01-07
DLY_00118,RT_105,BUS_1061,INT_008,STOP_27,2023-01-03 02:55:00,2023-01-03 03:03:25,8.43,weather,2023-01-03
DLY_00119,RT_102,BUS_1059,INT_005,STOP_24,2023-01-05 02:29:00,2023-01-05 02:36:15,7.26,traffic,2023-01-05
DLY_00120,RT_107,BUS_1071,INT_006,STOP_5,2023-01-03 19:36:00,2023-01-03 19:43:22,7.37,weather,2023-01-03
DLY_00121,RT_101,BUS_1033,INT_004,STOP_3,2023-01-05 17:44:00,2023-01-05 17:46:16,2.27,traffic,2023-01-05
DLY_00122,RT_105,BUS_1074,INT_006,STOP_15,2023-01-05 10:38:00,2023-01-05 10:47:12,9.21,other,2023-01-05
DLY_00123,RT_102,BUS_1086,INT_008,STOP_27,2023-01-05 11:26:00,2023-01-05 11:26:47,0.79,breakdown,2023-01-05
DLY_00124,RT_110,BUS_1071,INT_007,STOP_16,2023-01-01 12:50:00,2023-01-01 12:56:45,6.76,weather,2023-01-01
DLY_00125,RT_104,BUS_1082,INT_001,STOP_30,2023-01-08 04:35:00,2023-01-08 04:46:34,11.57,traffic,2023-01-08
DLY_00126,RT_105,BUS_1083,INT_002,STOP_21,2023-01-06 12:46:00,2023-01-06 12:48:01,2.03,other,2023-01-06
DLY_00127,RT_101,BUS_1004,INT_005,STOP_4,2023-01-02 20:10:00,2023-01-02 20:13:18,3.3,weather,2023-01-02
DLY_00128,RT_102,BUS_1030,INT_007,STOP_16,2023-01-02 13:42:00,2023-01-02 13:47:17,5.3,breakdown,2023-01-02
DLY_00129,RT_106,BUS_1085,INT_004,STOP_13,2023-01-06 09:52:00,2023-01-06 09:55:29,3.49,other,2023-01-06
DLY_00130,RT_107,BUS_1083,INT_010,STOP_19,2023-01-03 00:11:00,2023-01-03 00:11:20,0.35,traffic,2023-01-03
DLY_00131,RT_110,BUS_1052,INT_008,STOP_27,2023-01-06 19:37:00,2023-01-06 19:42:12,5.21,weather,2023-01-06
DLY_00132,RT_104,BUS_1056,INT_003,STOP_2,2023-01-05 11:10:00,2023-01-05 11:11:48,1.81,other,2023-01-05
DLY_00133,RT_102,BUS_1087,INT_009,STOP_8,2023-01-05 09:02:00,2023-01-05 09:08:25,6.42,weather,2023-01-05
DLY_00134,RT_101,BUS_1050,INT_009,STOP_18,2023-01-05 07:56:00,2023-01-05 07:58:14,2.24,weather,2023-01-05
DLY_00135,RT_108,BUS_1011,INT_008,STOP_7,2023-01-02 15:21:00,2023-01-02 15:30:38,9.65,breakdown,2023-01-02
DLY_00136,RT_101,BUS_1006,INT_002,STOP_21,2023-01-08 01:03:00,2023-01-08 01:05:39,2.65,weather,2023-01-08
DLY_00137,RT_110,BUS_1026,INT_009,STOP_8,2023-01-02 16:23:00,2023-01-02 16:27:02,4.03,traffic,2023-01-02
DLY_00138,RT_104,BUS_1075,INT_008,STOP_27,2023-01-07 13:20:00,2023-01-07 13:27:26,7.44,breakdown,2023-01-07
DLY_00139,RT_106,BUS_1099,INT_008,STOP_27,2023-01-03 21:37:00,2023-01-03 21:38:18,1.31,breakdown,2023-01-03
DLY_00140,RT_101,BUS_1035,INT_007,STOP_26,2023-01-08 00:44:00,2023-01-08 00:49:40,5.68,breakdown,2023-01-08
DLY_00141,RT_105,BUS_1022,INT_006,STOP_5,2023-01-07 09:30:00,2023-01-07 09:38:55,8.92,traffic,2023-01-07
DLY_00142,RT_103,BUS_1001,INT_003,STOP_22,2023-01-01 13:02:00,2023-01-01 13:02:10,0.18,weather,2023-01-01
DLY_00143,RT_110,BUS_1041,INT_007,STOP_26,2023-01-03 22:58:00,2023-01-03 23:03:33,5.55,traffic,2023-01-03
DLY_00144,RT_101,BUS_1016,INT_007,STOP_6,2023-01-04 06:27:00,2023-01-04 06:32:46,5.78,other,2023-01-04
DLY_00145,RT_102,BUS_1060,INT_008,STOP_17,2023-01-02 13:02:00,2023-01-02 13:09:20,7.35,other,2023-01-02
DLY_00146,RT_109,BUS_1075,INT_006,STOP_25,2023-01-05 08:51:00,2023-01-05 08:52:17,1.29,traffic,2023-01-05
DLY_00147,RT_104,BUS_1078,INT_006,STOP_15,2023-01-06 23:34:00,2023-01-06 23:35:02,1.04,traffic,2023-01-06
DLY_00148,RT_105,BUS_1058,INT_005,STOP_24,2023-01-07 04:23:00,2023-01-07 04:29:33,6.57,traffic,2023-01-07
DLY_00149,RT_107,BUS_1054,INT_003,STOP_2,2023-01-06 16:47:00,2023-01-06 16:52:53,5.89,traffic,2023-01-06
DLY_00150,RT_102,BUS_1010,INT_007,STOP_16,2023-01-06 07:07:00,2023-01-06 07:12:45,5.75,weather,2023-01-06
DLY_00151,RT_102,BUS_1016,INT_001,STOP_20,2023-01-02 22:30:00,2023-01-02 22:36:02,6.04,weather,2023-01-02
DLY_00152,RT_109,BUS_1091,INT_001,STOP_20,2023-01-07 21:50:00,2023-01-07 21:52:57,2.96,weather,2023-01-07
DLY_00153,RT_109,BUS_1037,INT_004,STOP_13,2023-01-08 01:07:00,2023-01-08 01:12:41,5.7,other,2023-01-08
DLY_00154,RT_107,BUS_1012,INT_008,STOP_17,2023-01-08 03:19:00,2023-01-08 03:24:52,5.88,traffic,2023-01-08
DLY_00155,RT_104,BUS_1055,INT_009,STOP_28,2023-01-07 12:33:00,2023-01-07 12:35:51,2.86,other,2023-01-07
DLY_00156,RT_107,BUS_1043,INT_010,STOP_29,2023-01-03 20:23:00,2023-01-03 20:33:35,10.6,other,2023-01-03
DLY_00157,RT_102,BUS_1040,INT_004,STOP_13,2023-01-05 23:35:00,2023-01-05 23:41:25,6.42,other,2023-01-05
DLY_00158,RT_106,BUS_1019,INT_002,STOP_11,2023-01-04 03:36:00,2023-01-04 03:37:25,1.43,other,2023-01-04
DLY_00159,RT_102,BUS_1011,INT_004,STOP_3,2023-01-02 06:54:00,2023-01-02 07:00:58,6.97,other,2023-01-02
DLY_00160,RT_103,BUS_1071,INT_005,STOP_4,2023-01-05 11:45:00,2023-01-05 11:47:04,2.08,traffic,2023-01-05
DLY_00161,RT_109,BUS_1042,INT_010,STOP_19,2023-01-07 15:21:00,2023-01-07 15:28:21,7.36,traffic,2023-01-07
DLY_00162,RT_107,BUS_1092,INT_005,STOP_14,2023-01-05 06:33:00,2023-01-05 06:41:28,8.48,traffic,2023-01-05
DLY_00163,RT_105,BUS_1045,INT_001,STOP_10,2023-01-08 01:57:00,2023-01-08 01:59:32,2.54,traffic,2023-01-08
DLY_00164,RT_104,BUS_1019,INT_010,STOP_19,2023-01-07 00:33:00,2023-01-07 00:40:53,7.89,other,2023-01-07
DLY_00165,RT_106,BUS_1071,INT_009,STOP_8,2023-01-02 11:33:00,2023-01-02 11:39:14,6.24,weather,2023-01-02
DLY_00166,RT_110,BUS_1028,INT_005,STOP_4,2023-01-04 10:04:00,2023-01-04 10:11:27,7.47,other,2023-01-04
DLY_00167,RT_110,BUS_1078,INT_009,STOP_28,2023-01-07 15:10:00,2023-01-07 15:20:41,10.69,traffic,2023-01-07
DLY_00168,RT_101,BUS_1023,INT_001,STOP_20,2023-01-04 07:01:00,2023-01-04 07:05:15,4.26,weather,2023-01-04
DLY_00169,RT_106,BUS_1044,INT_004,STOP_23,2023-01-04 18:22:00,2023-01-04 18:24:44,2.74,traffic,2023-01-04
DLY_00170,RT_110,BUS_1084,INT_007,STOP_6,2023-01-02 21:07:00,2023-01-02 21:09:19,2.33,other,2023-01-02
DLY_00171,RT_101,BUS_1011,INT_004,STOP_3,2023-01-02 20:44:00,2023-01-02 20:46:33,2.55,breakdown,2023-01-02
DLY_00172,RT_108,BUS_1043,INT_004,STOP_13,2023-01-06 00:38:00,2023-01-06 00:42:46,4.77,breakdown,2023-01-06
DLY_00173,RT_106,BUS_1099,INT_003,STOP_12,2023-01-04 19:05:00,2023-01-04 19:11:01,6.02,traffic,2023-01-04
DLY_00174,RT_103,BUS_1020,INT_010,STOP_29,2023-01-01 20:21:00,2023-01-01 20:26:49,5.83,traffic,2023-01-01
DLY_00175,RT_105,BUS_1056,INT_003,STOP_22,2023-01-02 04:16:00,2023-01-02 04:23:28,7.48,other,2023-01-02
DLY_00176,RT_108,BUS_1053,INT_007,STOP_16,2023-01-08 03:46:00,2023-01-08 03:51:02,5.04,weather,2023-01-08
DLY_00177,RT_102,BUS_1044,INT_008,STOP_7,2023-01-07 01:54:00,2023-01-07 02:03:21,9.36,other,2023-01-07
DLY_00178,RT_110,BUS_1062,INT_005,STOP_4,2023-01-04 11:20:00,2023-01-04 11:24:12,4.21,weather,2023-01-04
DLY_00179,RT_107,BUS_1076,INT_003,STOP_2,2023-01-03 18:12:00,2023-01-03 18:25:09,13.16,traffic,2023-01-03
DLY_00180,RT_105,BUS_1027,INT_002,STOP_1,2023-01-03 13:49:00,2023-01-03 13:55:52,6.88,breakdown,2023-01-03
DLY_00181,RT_105,BUS_1041,INT_006,STOP_25,2023-01-04 03:46:00,2023-01-04 03:48:25,2.43,traffic,2023-01-04
DLY_00182,RT_107,BUS_1022,INT_002,STOP_1,2023-01-06 21:49:00,2023-01-06 21:50:47,1.79,breakdown,2023-01-06
DLY_00183,RT_104,BUS_1064,INT_004,STOP_13,2023-01-07 07:25:00,2023-01-07 07:31:26,6.45,weather,2023-01-07
DLY_00184,RT_101,BUS_1055,INT_004,STOP_3,2023-01-05 18:25:00,2023-01-05 18:29:19,4.33,traffic,2023-01-05
DLY_00185,RT_106,BUS_1073,INT_006,STOP_15,2023-01-02 03:15:00,2023-01-02 03:22:08,7.14,other,2023-01-02
DLY_00186,RT_107,BUS_1037,INT_010,STOP_19,2023-01-05 20:26:00,2023-01-05 20:32:25,6.42,traffic,2023-01-05
DLY_00187,RT_106,BUS_1021,INT_004,STOP_13,2023-01-01 11:41:00,2023-01-01 11:45:46,4.78,other,2023-01-01
DLY_00188,RT_102,BUS_1055,INT_008,STOP_27,2023-01-05 08:48:00,2023-01-05 08:50:27,2.46,traffic,2023-01-05
DLY_00189,RT_110,BUS_1051,INT_009,STOP_8,2023-01-06 04:58:00,2023-01-06 04:58:27,0.46,traffic,2023-01-06
DLY_00190,RT_106,BUS_1028,INT_004,STOP_13,2023-01-04 18:43:00,2023-01-04 18:46:39,3.66,weather,2023-01-04
DLY_00191,RT_102,BUS_1065,INT_006,STOP_25,2023-01-03 03:54:00,2023-01-03 04:01:34,7.57,traffic,2023-01-03
DLY_00192,RT_104,BUS_1099,INT_008,STOP_17,2023-01-07 01:15:00,2023-01-07 01:20:38,5.64,weather,2023-01-07
DLY_00193,RT_104,BUS_1013,INT_003,STOP_12,2023-01-02 22:19:00,2023-01-02 22:20:15,1.26,breakdown,2023-01-02
DLY_00194,RT_103,BUS_1077,INT_010,STOP_9,2023-01-03 11:52:00,2023-01-03 11:57:31,5.52,breakdown,2023-01-03
DLY_00195,RT_103,BUS_1098,INT_006,STOP_25,2023-01-02 02:34:00,2023-01-02 02:40:09,6.16,other,2023-01-02
DLY_00196,RT_110,BUS_1057,INT_006,STOP_15,2023-01-07 15:56:00,2023-01-07 15:58:20,2.35,weather,2023-01-07
